[49.145.47.44 | 03-Apr-2023 10:19:50] 2-Super Admin: Logged in.
[49.145.47.44 | 03-Apr-2023 10:20:29] 2-Super Admin: Activate License.
[49.145.47.44 | 03-Apr-2023 10:20:39] 2-Super Admin: Activate License.
[49.145.47.44 | 03-Apr-2023 10:20:56] 2-Super Admin: Activate License.
[49.145.47.44 | 03-Apr-2023 10:21:02] 2-Super Admin: Activate License.
[49.145.47.44 | 03-Apr-2023 11:03:48] 2-Super Admin: Logged in.
[49.145.47.44 | 03-Apr-2023 11:03:52] 2-Super Admin: Logged out.
[77.111.246.9 | 03-Apr-2023 14:03:45] 2-Super Admin: Logged in.
[77.111.246.9 | 03-Apr-2023 15:00:05] 2-Super Admin: Logged in.
[77.111.246.9 | 03-Apr-2023 15:16:44] 2-Super Admin: Activate License.
[77.111.246.9 | 03-Apr-2023 15:34:25] 2-Super Admin: Activate License.
[77.111.246.9 | 03-Apr-2023 16:32:34] 2-Super Admin: Deactivate License.
[77.111.246.9 | 03-Apr-2023 16:35:44] 2-Super Admin: Deactivate License.
[77.111.246.9 | 03-Apr-2023 16:36:25] 2-Super Admin: Activate License.
[77.111.246.9 | 03-Apr-2023 16:36:33] 2-Super Admin: Deactivate License.
[77.111.246.9 | 03-Apr-2023 16:37:25] 2-Super Admin: Activate License.
[77.111.246.9 | 03-Apr-2023 16:37:32] 2-Super Admin: Deactivate License.
[49.145.43.133 | 04-Apr-2023 16:09:04] 2-Super Admin: Logged in.
[49.145.43.133 | 04-Apr-2023 16:10:16] 2-Super Admin: Activate License.
[49.145.43.133 | 04-Apr-2023 16:10:25] 2-Super Admin: Deactivate License.
[49.145.43.133 | 04-Apr-2023 16:10:36] 2-Super Admin: Activate License.
[49.145.43.133 | 04-Apr-2023 16:44:10] 2-Super Admin: Logged in.
[49.145.43.133 | 04-Apr-2023 16:45:15] 2-Super Admin: Deactivate License.
[49.145.43.133 | 04-Apr-2023 16:45:30] 2-Super Admin: Activate License.
[49.145.43.133 | 04-Apr-2023 16:45:36] 2-Super Admin: Activate License.
[49.145.43.133 | 04-Apr-2023 16:49:22] 2-Super Admin: Activate License.
[49.145.43.133 | 04-Apr-2023 16:49:25] 2-Super Admin: Deactivate License.
[49.148.243.209 | 10-Apr-2023 10:53:46] 2-Super Admin: Logged in.
[49.148.243.209 | 10-Apr-2023 11:39:43] 2-Super Admin: Activate License.
[49.148.243.209 | 10-Apr-2023 11:43:01] 2-Super Admin: Import Employee
[49.148.243.209 | 10-Apr-2023 11:44:21] 2-Super Admin: Deleted Employee John Doe
[49.148.243.209 | 10-Apr-2023 11:44:37] 2-Super Admin: Import Employee
[49.148.243.209 | 10-Apr-2023 11:48:08] 2-Super Admin: Import Employee
[49.148.243.209 | 10-Apr-2023 11:48:39] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:48:43] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:48:47] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:48:50] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:48:54] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:48:59] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:49:01] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:49:04] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:49:07] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:49:09] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:49:11] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:49:14] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:49:17] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:49:20] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:49:23] 2-Super Admin: Deleted Employee  
[49.148.243.209 | 10-Apr-2023 11:49:33] 2-Super Admin: Deleted Employee ANGELO ALABOT
[49.148.243.209 | 10-Apr-2023 14:43:53] 2-Super Admin: Logged in.
[49.148.243.209 | 10-Apr-2023 15:42:35] 2-Super Admin: Deactivate License.
[49.148.243.209 | 10-Apr-2023 15:51:39] 2-Super Admin: Activate License.
[49.148.243.209 | 10-Apr-2023 16:23:10] 2-Super Admin: Deactivate License.
[49.148.243.209 | 10-Apr-2023 16:23:21] 2-Super Admin: Activate License.
[49.148.243.209 | 10-Apr-2023 16:24:33] 2-Super Admin: Deactivate License.
[49.148.243.209 | 10-Apr-2023 16:24:40] 2-Super Admin: Activate License.
[49.148.243.209 | 10-Apr-2023 16:24:46] 2-Super Admin: Deactivate License.
[49.148.243.209 | 10-Apr-2023 16:24:53] 2-Super Admin: Activate License.
[49.148.249.77 | 11-Apr-2023 09:57:53] 2-Super Admin: Logged in.
[49.148.249.77 | 11-Apr-2023 12:02:51] 2-Super Admin: Deactivate License.
[49.148.249.77 | 11-Apr-2023 12:02:58] 2-Super Admin: Activate License.
[49.148.249.77 | 11-Apr-2023 12:04:51] 2-Super Admin: Activate License.
[49.148.249.77 | 11-Apr-2023 13:01:35] 2-Super Admin: Logged in.
[49.148.249.77 | 11-Apr-2023 13:06:57] 2-Super Admin: Activate License.
[49.148.249.77 | 11-Apr-2023 13:35:19] 2-Super Admin: Domain License.
[49.148.249.77 | 11-Apr-2023 13:38:33] 2-Super Admin: Domain License.
[49.148.249.77 | 11-Apr-2023 13:40:08] 2-Super Admin: Domain License.
[49.148.249.77 | 11-Apr-2023 13:40:56] 2-Super Admin: Domain License.
[49.148.249.77 | 11-Apr-2023 13:41:02] 2-Super Admin: Domain License.
[49.148.249.77 | 11-Apr-2023 15:50:28] 2-Super Admin: Logged in.
[49.148.249.77 | 11-Apr-2023 16:26:40] 2-Super Admin: Logged in.
[49.148.249.77 | 11-Apr-2023 16:27:04] 2-Super Admin: Domain License.
[49.148.249.77 | 11-Apr-2023 16:27:17] 2-Super Admin: Import Employee
[49.148.249.77 | 11-Apr-2023 16:29:29] 2-Super Admin: Import Employee
[49.148.249.77 | 11-Apr-2023 16:32:15] 2-Super Admin: Import Employee
[49.148.249.77 | 11-Apr-2023 16:32:51] 2-Super Admin: Import Employee
[49.148.249.77 | 11-Apr-2023 16:34:58] 2-Super Admin: Import Employee
[49.148.246.190 | 12-Apr-2023 16:18:43] 2-Super Admin: Logged in.
[49.148.246.190 | 12-Apr-2023 16:48:58] 2-Super Admin: Domain License.
[49.148.246.190 | 12-Apr-2023 16:49:15] 2-Super Admin: Activate License.
[49.148.246.190 | 12-Apr-2023 16:49:20] 2-Super Admin: Domain License.
[49.148.246.190 | 12-Apr-2023 16:49:27] 2-Super Admin: Activate License.
[49.148.246.190 | 12-Apr-2023 16:51:44] 2-Super Admin: Domain License.
[49.148.246.190 | 12-Apr-2023 16:51:47] 2-Super Admin: Activate License.
[49.148.246.190 | 12-Apr-2023 16:52:52] 2-Super Admin: Added Payroll samplepayroll Array Success.
[49.148.246.190 | 12-Apr-2023 16:53:10] 2-Super Admin: Generate Payslip for samplepayroll
[49.148.246.190 | 12-Apr-2023 16:53:11] 2-Super Admin: Generate Payslip for samplepayroll
[49.148.246.190 | 12-Apr-2023 16:53:24] 2-Super Admin: Generate Distribution for samplepayroll
[49.148.246.190 | 12-Apr-2023 16:53:24] 2-Super Admin: Generate Distribution for samplepayroll
[49.148.246.190 | 12-Apr-2023 17:02:26] 2-Super Admin: Import Employee
[49.148.246.190 | 12-Apr-2023 17:02:47] 2-Super Admin: Import Employee
[49.145.43.223 | 13-Apr-2023 08:47:47] 2-Super Admin: Logged in.
[49.145.43.223 | 13-Apr-2023 08:51:26] 2-Super Admin: Import Employee
[49.145.43.223 | 13-Apr-2023 09:07:18] 2-Super Admin: Import Employee
[49.145.43.223 | 13-Apr-2023 09:07:32] 2-Super Admin: Import Employee
[49.145.43.223 | 13-Apr-2023 09:11:12] 2-Super Admin: Import Employee
[49.145.43.223 | 13-Apr-2023 09:12:55] 2-Super Admin: Import Employee
[49.145.43.223 | 13-Apr-2023 14:41:21] 2-Super Admin: Logged in.
[49.145.43.223 | 13-Apr-2023 16:11:22] 2-Super Admin: Logged in.
