[49.145.42.244 | 02-Feb-2023 14:19:34] 2-Super Admin: Logged in.
[120.28.224.17 | 07-Feb-2023 15:33:22] 2-Super Admin: Logged in.
[120.28.228.39 | 08-Feb-2023 08:36:03] 2-Super Admin: Logged in.
[120.28.228.39 | 08-Feb-2023 11:57:35] 2-Super Admin: Generate Distribution for asdasd
[120.28.228.39 | 08-Feb-2023 11:58:59] 2-Super Admin: Generate Distribution for asdasd
[120.28.228.39 | 08-Feb-2023 11:59:01] 2-Super Admin: Generate Payslip for asdasd
[120.28.228.39 | 08-Feb-2023 12:01:15] 2-Super Admin: Generate Distribution for asdasd
[120.28.228.39 | 08-Feb-2023 12:01:28] 2-Super Admin: Generate Payslip for asdasd
[120.28.228.39 | 08-Feb-2023 12:03:59] 2-Super Admin: Generate Payslip for asdasd
[120.28.228.39 | 08-Feb-2023 12:04:06] 2-Super Admin: Generate Distribution for asdasd
[120.28.228.39 | 08-Feb-2023 13:00:15] 2-Super Admin: Logged in.
[120.28.228.39 | 08-Feb-2023 13:06:54] 2-Super Admin: Generate Payslip for John Doe
[120.28.228.39 | 08-Feb-2023 13:10:45] 2-Super Admin: Generate Payslip for John Doe
[120.28.228.39 | 08-Feb-2023 13:10:52] 2-Super Admin: Generate Payslip for John Doe
[49.148.242.141 | 08-Feb-2023 13:55:41] 2-Super Admin: Logged in.
[49.148.242.141 | 08-Feb-2023 14:02:10] 2-Super Admin: Generate Payslip for test
[49.148.242.141 | 08-Feb-2023 14:05:27] 2-Super Admin: Generate Payslip for test
[49.148.242.141 | 08-Feb-2023 14:12:02] 2-Super Admin: Generate Payslip for test
[49.148.242.141 | 08-Feb-2023 14:17:07] 2-Super Admin: Generate Payslip for asdasd
[120.28.226.41 | 08-Feb-2023 16:26:16] 2-Super Admin: Set Training amount.
[120.28.226.41 | 08-Feb-2023 16:26:25] 2-Super Admin: Set Training amount.
[120.28.226.41 | 08-Feb-2023 16:26:43] 2-Super Admin: Set Training amount.
[120.28.226.41 | 08-Feb-2023 16:45:46] 2-Super Admin: Generate Payslip for asdasd
[120.28.226.41 | 08-Feb-2023 17:08:03] 2-Super Admin: Generate Payslip for John Doe
[120.28.232.144 | 14-Feb-2023 14:21:02] 2-Super Admin: Logged in.
[120.28.232.144 | 14-Feb-2023 14:21:36] 2-Super Admin: Generate Distribution for Test1
[49.148.243.21 | 15-Feb-2023 08:37:13] 2-Super Admin: Logged in.
[49.148.243.21 | 15-Feb-2023 08:40:49] 2-Super Admin: Generate Payslip for John Doe
[49.148.243.21 | 15-Feb-2023 08:44:11] 2-Super Admin: Generate Payslip for John Doe
[49.148.243.21 | 15-Feb-2023 08:53:02] 2-Super Admin: Generate Payslip for John Doe
