[120.28.250.63 | 03-Jan-2024 08:35:32] 2-Super Admin: Logged in.
[120.28.250.63 | 03-Jan-2024 09:08:32] 2-Super Admin: Added Employee Jane  Doe
[120.28.250.63 | 03-Jan-2024 09:08:52] 184-Jane  Doe: Logged in.
[120.28.250.63 | 03-Jan-2024 09:10:43] 184-Jane  Doe: Change profile picture.
[120.28.250.63 | 03-Jan-2024 09:20:50] 2-Super Admin: Upload file uploads/2/8.jpg
[120.28.250.63 | 03-Jan-2024 09:20:56] 2-Super Admin: Update file xx information.
[120.28.250.63 | 03-Jan-2024 09:21:05] 2-Super Admin: Deleted file xx
[120.28.250.63 | 03-Jan-2024 09:21:32] 2-Super Admin: Add timelog for biometric ID 123 First Time in : 2024-01-03 8:00
[120.28.250.63 | 03-Jan-2024 09:21:33] 2-Super Admin: Add timelog for biometric ID 123 First Time out : 2024-01-03 12:00
[120.28.250.63 | 03-Jan-2024 09:21:34] 2-Super Admin: Add timelog for biometric ID 123 Second Time in : 2024-01-03 13:00
[120.28.250.63 | 03-Jan-2024 09:21:35] 2-Super Admin: Add timelog for biometric ID 123 Second Time out : 2024-01-03 17:00
[120.28.250.63 | 03-Jan-2024 09:22:01] 2-Super Admin: Add overtime for Doe John on  time 5:00pm - 6:00pm
[120.28.250.63 | 03-Jan-2024 09:22:58] 2-Super Admin: Add overtime for Doe John on 2024-01-03 time 5:00pm - 6:00pm
[120.28.250.63 | 03-Jan-2024 09:23:11] 2-Super Admin: Delete overtime ID23
[120.28.250.63 | 03-Jan-2024 09:24:23] 2-Super Admin: Create Schedule New Sched
[120.28.250.63 | 03-Jan-2024 09:24:36] 2-Super Admin: Update Schedule AM SHIFT NURSES
[120.28.250.63 | 03-Jan-2024 09:25:34] 2-Super Admin: Added/Updated User Schedules
[120.28.250.63 | 03-Jan-2024 09:27:05] 2-Super Admin: Added Payroll test Array Success.
[120.28.250.63 | 03-Jan-2024 09:27:30] 2-Super Admin: Generate Payslip for test
[120.28.250.63 | 03-Jan-2024 09:27:41] 2-Super Admin: Generate Distribution for test
[120.28.250.63 | 03-Jan-2024 09:30:04] 2-Super Admin: Added 13th Month asdasdsd Array Success.
[120.28.250.63 | 03-Jan-2024 09:30:16] 2-Super Admin: Generate Nth-payslip for asdasdsd
[120.28.250.63 | 03-Jan-2024 09:30:20] 2-Super Admin: Generate Nth-distribution for asdasdsd
[120.28.250.63 | 03-Jan-2024 09:50:08] 2-Super Admin: Added Payroll test-payroll Array Success.
[120.28.250.63 | 03-Jan-2024 09:50:20] 2-Super Admin: Generate Payslip for test-payroll
[120.28.250.63 | 03-Jan-2024 09:50:52] 2-Super Admin: Generate Payslip for test-payroll
[120.28.250.63 | 03-Jan-2024 09:50:53] 2-Super Admin: Generate Payslip for test-payroll
[120.28.250.63 | 03-Jan-2024 09:51:08] 2-Super Admin: Generate Distribution for test-payroll
[120.28.250.63 | 03-Jan-2024 10:30:10] 2-Super Admin: Generate Payslip for test-payroll
[120.28.250.63 | 03-Jan-2024 10:30:10] 2-Super Admin: Generate Payslip for test-payroll
[120.28.250.63 | 03-Jan-2024 10:30:25] 2-Super Admin: Generate Distribution for test-payroll
[120.28.250.63 | 03-Jan-2024 10:30:25] 2-Super Admin: Generate Distribution for test-payroll
[49.148.245.159 | 03-Jan-2024 10:48:28] 2-Super Admin: Generate Payslip for test-payroll
[49.148.245.159 | 03-Jan-2024 10:48:28] 2-Super Admin: Generate Payslip for test-payroll
[49.148.245.159 | 03-Jan-2024 10:48:47] 2-Super Admin: Generate Distribution for test-payroll
[49.148.245.159 | 03-Jan-2024 10:48:47] 2-Super Admin: Generate Distribution for test-payroll
[49.148.245.159 | 03-Jan-2024 10:56:24] 2-Super Admin: Logged out.
