[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 300
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 300
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:29:41] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 300
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 300
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:31:02] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 300
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 300
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:32:33] 2-Admin User: Late Allowance: 300 Late Spent: 0
[49.148.246.53 | 17-Jul-2023 14:35:37] 2-Admin User: Set late allowance.
[49.148.246.53 | 17-Jul-2023 14:37:10] 2-Admin User: Set late allowance.
[49.148.246.53 | 17-Jul-2023 14:39:10] 2-Admin User: Set late allowance.
[49.148.246.53 | 17-Jul-2023 14:40:05] 2-Admin User: Set late allowance.
[49.148.246.53 | 17-Jul-2023 14:45:52] 2-Admin User: Set late allowance.
[49.148.246.53 | 17-Jul-2023 14:46:03] 2-Admin User: Set late allowance.
[49.148.246.53 | 17-Jul-2023 15:18:25] 2-Admin User: Import Employee
[120.28.184.226 | 17-Jul-2023 16:31:13] 2-Admin User: Logged in.
[120.28.184.226 | 17-Jul-2023 16:31:57] 2-Admin User: Set SIL.
[120.28.184.226 | 17-Jul-2023 16:41:50] 2-Admin User: Added Payroll payroll test1 Array Success.
[120.28.184.226 | 17-Jul-2023 16:42:02] 2-Admin User: Generate Payslip for payroll test1
[120.28.184.226 | 17-Jul-2023 16:42:03] 2-Admin User: Generate Payslip for payroll test1
[120.28.184.226 | 17-Jul-2023 16:43:27] 2-Admin User: Change Company Logo
[120.28.184.226 | 17-Jul-2023 16:43:40] 2-Admin User: Generate Payslip for PAYROLL1
[120.28.184.226 | 17-Jul-2023 16:43:41] 2-Admin User: Generate Payslip for PAYROLL1
[120.28.184.226 | 17-Jul-2023 16:44:52] 2-Admin User: Change Company Logo
[120.28.184.226 | 17-Jul-2023 16:45:40] 2-Admin User: Change Company Logo
[120.28.184.226 | 17-Jul-2023 16:47:07] 2-Admin User: Generate Payslip for payroll test1
[120.28.184.226 | 17-Jul-2023 16:47:08] 2-Admin User: Generate Payslip for payroll test1
[49.148.246.53 | 17-Jul-2023 16:47:23] 2-Admin User: Logged in.
[120.28.184.226 | 17-Jul-2023 16:53:15] 2-Admin User: Logged out.
[120.28.184.226 | 17-Jul-2023 16:53:16] - : Logged out.
[49.148.249.5 | 18-Jul-2023 08:27:06] 2-Admin User: Logged in.
[49.148.249.5 | 18-Jul-2023 08:29:56] 2-Admin User: Generate Payslip for bonares
[49.148.249.5 | 18-Jul-2023 08:29:57] 2-Admin User: Generate Payslip for bonares
[49.148.249.5 | 18-Jul-2023 08:38:41] 2-Admin User: Generate Payslip for bonares
[49.148.249.5 | 18-Jul-2023 08:38:41] 2-Admin User: Generate Payslip for bonares
[49.148.249.5 | 18-Jul-2023 08:40:37] 2-Admin User: Generate Payslip for bonares
[49.148.249.5 | 18-Jul-2023 08:40:38] 2-Admin User: Generate Payslip for bonares
[49.148.249.5 | 18-Jul-2023 08:41:53] 2-Admin User: Generate Payslip for bonares
[49.148.249.5 | 18-Jul-2023 08:41:54] 2-Admin User: Generate Payslip for bonares
[49.148.249.5 | 18-Jul-2023 08:51:27] 42-Miguelito Bonares: Logged in.
[49.148.249.5 | 18-Jul-2023 08:58:29] 42-Miguelito Bonares: Logged out.
[49.148.249.5 | 18-Jul-2023 09:00:46] 2-Admin User: Set SIL.
[49.148.249.5 | 18-Jul-2023 09:01:51] 2-Admin User: Update leave ID 39
[120.28.248.227 | 18-Jul-2023 09:09:45] 2-Admin User: Logged in.
[120.28.248.227 | 18-Jul-2023 09:12:01] 2-Admin User: Added Employee b b
[49.148.249.5 | 18-Jul-2023 09:21:09] 2-Admin User: Generate Payslip for bonares
[49.148.249.5 | 18-Jul-2023 09:21:11] 2-Admin User: Generate Payslip for bonares
[49.148.249.5 | 18-Jul-2023 09:23:54] 2-Admin User: Generate Distribution for bonares
[49.148.249.5 | 18-Jul-2023 09:23:54] 2-Admin User: Generate Distribution for bonares
[49.148.249.5 | 18-Jul-2023 09:30:11] 2-Admin User: Generate Distribution for bonares
[49.148.249.5 | 18-Jul-2023 09:30:11] 2-Admin User: Generate Distribution for bonares
[120.28.248.227 | 18-Jul-2023 10:59:51] 2-Admin User: Logged in.
[49.148.249.5 | 18-Jul-2023 11:15:40] 2-Admin User: Logged in.
[49.148.249.5 | 18-Jul-2023 11:15:50] 2-Admin User: Logged out.
[49.148.249.5 | 18-Jul-2023 11:16:40] 2-Admin User: Logged in.
