[49.148.247.211 | 01-Mar-2023 14:56:31] 2-Super Admin: Logged in.
[49.148.247.211 | 01-Mar-2023 15:37:07] 2-Super Admin: Set Leave amount.
[49.148.247.211 | 01-Mar-2023 15:47:22] 2-Super Admin: Set Leave amount.
[49.148.247.211 | 01-Mar-2023 15:48:50] 2-Super Admin: Added Payroll Test8 Array Success.
[49.148.247.211 | 01-Mar-2023 15:49:06] 2-Super Admin: Generate Payslip for Test8
[49.148.247.211 | 01-Mar-2023 15:49:07] 2-Super Admin: Generate Payslip for Test8
[49.148.247.211 | 01-Mar-2023 15:49:24] 2-Super Admin: Generate Distribution for Test8
[49.148.247.211 | 01-Mar-2023 15:49:24] 2-Super Admin: Generate Distribution for Test8
[49.148.247.211 | 01-Mar-2023 15:51:02] 2-Super Admin: Added 13th Month Test2 Array Success.
[49.148.247.211 | 01-Mar-2023 15:51:19] 2-Super Admin: Generate Nth-payslip for Test2
[49.148.247.211 | 01-Mar-2023 15:51:20] 2-Super Admin: Generate Nth-payslip for Test2
[49.148.247.211 | 01-Mar-2023 15:51:32] 2-Super Admin: Generate Nth-distribution for Test2
[49.148.247.211 | 01-Mar-2023 15:51:32] 2-Super Admin: Generate Nth-distribution for Test2
[49.148.247.211 | 01-Mar-2023 15:54:28] 2-Super Admin: Add leave for Helper Demo 2023-03-21 - 1
[49.148.247.211 | 01-Mar-2023 15:55:32] 2-Super Admin: Delete leave ID 4
[49.148.247.211 | 01-Mar-2023 15:55:52] 2-Super Admin: Add leave for Helper Demo 2023-03-14 - 1
[49.148.247.211 | 01-Mar-2023 15:56:10] 2-Super Admin: Delete leave ID 5
[49.148.247.211 | 01-Mar-2023 15:56:25] 2-Super Admin: Add leave for Helper Demo 2023-02-14 - 1
[49.148.247.211 | 01-Mar-2023 15:58:01] 2-Super Admin: Added Payroll Test Array Success.
[49.148.247.211 | 01-Mar-2023 16:25:51] 2-Super Admin: Delete leave ID 2
[49.148.244.190 | 02-Mar-2023 10:21:45] 2-Super Admin: Logged in.
[49.148.244.190 | 02-Mar-2023 10:51:09] 2-Super Admin: Set Leave amount.
[49.148.244.190 | 02-Mar-2023 10:57:49] 2-Super Admin: Generate Payslip for Test
[49.148.244.190 | 02-Mar-2023 10:57:50] 2-Super Admin: Generate Payslip for Test
[49.148.244.190 | 02-Mar-2023 11:56:29] 2-Super Admin: Logged in.
[49.148.244.190 | 02-Mar-2023 12:58:46] 2-Super Admin: Logged in.
[49.148.244.190 | 02-Mar-2023 14:43:49] 2-Super Admin: Update Xandra The Great Loan amortization for .
[49.148.244.190 | 02-Mar-2023 14:44:40] 2-Super Admin: Update Demo Helper Loan amortization for .
[49.148.244.190 | 02-Mar-2023 14:45:05] 2-Super Admin: Update Demo Helper Loan amortization for .
[49.148.244.190 | 02-Mar-2023 14:47:45] 2-Super Admin: Update Demo Helper Loan amortization for .
[49.145.44.102 | 03-Mar-2023 09:00:40] 2-Super Admin: Logged in.
[49.145.44.102 | 03-Mar-2023 09:02:22] 2-Super Admin: Add timelog for biometric ID 1 First Time in : 2023-03-01 8:00
[49.145.44.102 | 03-Mar-2023 09:02:23] 2-Super Admin: Add timelog for biometric ID 1 First Time out : 2023-03-01 12:00
[49.145.44.102 | 03-Mar-2023 09:02:24] 2-Super Admin: Add timelog for biometric ID 1 Second Time in : 2023-03-01 1:00
[49.145.44.102 | 03-Mar-2023 09:02:25] 2-Super Admin: Add timelog for biometric ID 1 Second Time out : 2023-03-01 17:00
