[120.28.226.129 | 02-Nov-2023 07:54:30] 2-Super Admin: Logged in.
[120.28.226.233 | 03-Nov-2023 08:19:10] 2-Super Admin: Logged in.
[49.145.45.113 | 03-Nov-2023 15:04:14] 2-Super Admin: Logged in.
[49.145.45.113 | 03-Nov-2023 15:08:47] 2-Super Admin: Added Payroll brttttt Array Success.
[49.145.45.113 | 03-Nov-2023 15:09:22] 2-Super Admin: Generate Payslip for brttttt
[49.145.45.113 | 03-Nov-2023 15:09:23] 2-Super Admin: Generate Payslip for brttttt
[49.145.45.113 | 03-Nov-2023 15:09:39] 2-Super Admin: Generate Distribution for brttttt
[49.145.45.113 | 03-Nov-2023 15:09:39] 2-Super Admin: Generate Distribution for brttttt
[49.145.45.113 | 03-Nov-2023 15:14:48] 2-Super Admin: Generate Payslip for brttttt
[49.145.45.113 | 03-Nov-2023 15:14:49] 2-Super Admin: Generate Payslip for brttttt
[49.145.45.113 | 03-Nov-2023 15:16:35] 2-Super Admin: Generate Payslip for brttttt
[49.145.45.113 | 03-Nov-2023 15:16:35] 2-Super Admin: Generate Payslip for brttttt
[49.145.45.113 | 03-Nov-2023 15:17:19] 2-Super Admin: Generate Distribution for brttttt
[49.145.45.113 | 03-Nov-2023 15:17:19] 2-Super Admin: Generate Distribution for brttttt
[49.148.242.2 | 09-Nov-2023 11:42:08] 2-Super Admin: Logged in.
[49.148.242.2 | 09-Nov-2023 11:44:01] 2-Super Admin: Update Schedule Standard
[49.148.242.2 | 09-Nov-2023 11:45:48] 2-Super Admin: Added/Updated User Schedules
[49.148.242.2 | 09-Nov-2023 15:31:14] 2-Super Admin: Logged in.
[49.148.242.2 | 09-Nov-2023 15:31:31] 2-Super Admin: Import Employee
[49.148.242.2 | 09-Nov-2023 15:36:08] 2-Super Admin: Import Employee
[49.148.242.2 | 09-Nov-2023 15:44:29] 2-Super Admin: Import Employee
[49.148.242.2 | 09-Nov-2023 15:45:02] 2-Super Admin: Deleted Employee xx xx
[120.28.248.10 | 13-Nov-2023 16:36:52] 2-Super Admin: Logged in.
[120.28.248.10 | 13-Nov-2023 16:37:19] 2-Super Admin: Create Schedule AM SHIFT NURSES
[49.145.34.131 | 13-Nov-2023 16:38:39] 2-Super Admin: Added/Updated User Schedules
[49.145.34.131 | 13-Nov-2023 16:39:21] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[49.145.34.131 | 13-Nov-2023 16:39:31] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[49.145.34.125 | 15-Nov-2023 13:02:25] 2-Super Admin: Logged in.
[49.145.34.125 | 15-Nov-2023 13:39:31] 2-Super Admin: Import Employee
[49.145.34.125 | 15-Nov-2023 13:41:49] 2-Super Admin: Import Employee
[49.145.34.125 | 15-Nov-2023 13:43:25] 2-Super Admin: Import Employee
[49.145.34.125 | 15-Nov-2023 13:45:41] 2-Super Admin: Import Employee
[49.145.34.125 | 15-Nov-2023 13:47:23] 2-Super Admin: Import Employee
[49.145.34.125 | 15-Nov-2023 13:51:45] 2-Super Admin: Import Employee
[49.145.34.125 | 15-Nov-2023 14:18:28] 2-Super Admin: Added Employee EVA APOSTOL
[49.145.34.125 | 15-Nov-2023 14:18:28] 2-Super Admin: Added Employee EVELYN PEARL ARROYO
[49.145.34.125 | 15-Nov-2023 14:18:28] 2-Super Admin: Added Employee ROQUETA ARROYO
[49.145.34.125 | 15-Nov-2023 14:18:28] 2-Super Admin: Added Employee LUDGIE ASIDOY
