[120.28.244.12 | 04-Sep-2023 16:35:01] 2-Admin User: Logged in.
[120.28.244.12 | 04-Sep-2023 16:36:42] 2-Admin User: Added 13th Month Thirteen Month Pay - Bonares, Miguelito Array Success.
[120.28.244.12 | 04-Sep-2023 16:37:00] 2-Admin User: Generate Nth-payslip for Thirteen Month Pay - Bonares, Miguelito
[120.28.244.12 | 04-Sep-2023 16:37:01] 2-Admin User: Generate Nth-payslip for Thirteen Month Pay - Bonares, Miguelito
[120.28.244.12 | 04-Sep-2023 16:38:34] 2-Admin User: Added 13th Month 13th Month - Sample Array Success.
[120.28.244.12 | 04-Sep-2023 16:40:36] 2-Admin User: Added 13th Month ssss Array Success.
[120.28.244.12 | 04-Sep-2023 16:44:42] 2-Admin User: Generate Nth-payslip for Thirteen Month Pay - Bonares, Miguelito
[120.28.244.12 | 04-Sep-2023 16:44:42] 2-Admin User: Generate Nth-payslip for Thirteen Month Pay - Bonares, Miguelito
[120.28.244.12 | 04-Sep-2023 16:45:31] 2-Admin User: Generate Payslip for 1st Payroll sample
[120.28.244.12 | 04-Sep-2023 16:45:32] 2-Admin User: Generate Payslip for 1st Payroll sample
[49.145.43.38 | 05-Sep-2023 08:21:35] 2-Admin User: Logged in.
[49.145.43.38 | 05-Sep-2023 09:18:33] 2-Admin User: Added Payroll 2023-09-05-test-payroll Array Success.
[49.145.43.38 | 05-Sep-2023 09:33:07] 2-Admin User: Generate Payslip for 2023-09-05-test-payroll
[49.145.43.38 | 05-Sep-2023 09:33:08] 2-Admin User: Generate Payslip for 2023-09-05-test-payroll
[49.145.43.38 | 05-Sep-2023 09:35:13] 2-Admin User: Generate Payslip for 2023-09-05-test-payroll
[49.145.43.38 | 05-Sep-2023 09:35:14] 2-Admin User: Generate Payslip for 2023-09-05-test-payroll
[49.145.43.38 | 05-Sep-2023 09:35:36] 2-Admin User: Generate Distribution for 2023-09-05-test-payroll
[49.145.43.38 | 05-Sep-2023 09:35:37] 2-Admin User: Generate Distribution for 2023-09-05-test-payroll
[49.145.43.38 | 05-Sep-2023 09:38:16] 2-Admin User: Generate Distribution for 2023-09-05-test-payroll
[49.145.43.38 | 05-Sep-2023 09:38:17] 2-Admin User: Generate Distribution for 2023-09-05-test-payroll
[49.145.43.38 | 05-Sep-2023 13:42:55] 2-Admin User: Logged in.
[49.145.43.38 | 05-Sep-2023 14:07:24] 2-Admin User: Generate Distribution for 2023-09-05-test-payroll
[49.145.43.38 | 05-Sep-2023 14:07:24] 2-Admin User: Generate Distribution for 2023-09-05-test-payroll
[49.145.43.38 | 05-Sep-2023 14:08:43] 2-Admin User: Generate Payslip for 2023-09-05-test-payroll
[49.145.43.38 | 05-Sep-2023 14:08:44] 2-Admin User: Generate Payslip for 2023-09-05-test-payroll
[49.145.43.38 | 05-Sep-2023 14:10:11] 2-Admin User: Added Payroll test-22 Array Success.
[49.145.43.38 | 05-Sep-2023 14:10:52] 2-Admin User: Generate Payslip for test-22
[49.145.43.38 | 05-Sep-2023 14:10:53] 2-Admin User: Generate Payslip for test-22
[49.145.43.38 | 05-Sep-2023 14:11:10] 2-Admin User: Generate Distribution for test-22
[49.145.43.38 | 05-Sep-2023 14:11:10] 2-Admin User: Generate Distribution for test-22
[120.28.225.155 | 11-Sep-2023 14:55:14] 2-Admin User: Logged in.
[120.28.225.155 | 11-Sep-2023 15:30:40] 2-Admin User: Downloaded Employee
[120.28.225.155 | 11-Sep-2023 15:30:44] 2-Admin User: Downloaded Employee
[120.28.225.155 | 11-Sep-2023 15:38:12] 2-Admin User: Downloaded file yy
[120.28.224.41 | 12-Sep-2023 08:04:34] 2-Admin User: Logged in.
[120.28.224.41 | 12-Sep-2023 08:04:55] 2-Admin User: Logged out.
[120.28.224.41 | 12-Sep-2023 08:05:09] 2-Admin User: Logged in.
